scopus_name,scopus_id,death
"Dalton, George",57011757700,"1999, Aug 23"
"Liu, Jungchao",57151723300,"1999, Aug 31"
"Griliches, Zvi",6603401100,"1999, Nov 04"
"Gapinski, James H.",7003693014,"2000, Jan 01"
"Johnson, Byron L.",55474611900,"2000, Jan 06"
"Heyne, Paul",16435353900,"2000, Mar 09"
"Miller, Merton H.",7406533756,"2000, Jun 03"
"Lillard, Lee A.",7004200845,"2000, Dec 02"
"Elliott, John E.",9638822200,"2001, Jan 01"
"Cameron, Rondo E.",7202537653,"2001, Jan 01"
"Cookingham, Mary E.",56975273000,"2001, Mar 12"
"Rosen, Sherwin",7401609511,"2001, Mar 17"
"Moses, Ronald P.",57189400084,"2001, Jun 20"
"Rege, Udayan P.",56987788500,"2002, Jan 01"
"Straub, La Vonne A.",7003949221,"2002, Jan 24"
"Rosenthal, Robert",7202610689,"2002, Feb 07"
"Vilasuso, Jon R.",6602122108,"2002, Apr 27"
"Bowman, Mary Jean",24346312300,"2002, Jun 04"
"Smith, Bruce D.",35494272100,"2002, Jul 09"
"Ansoff, H. Igor",6506564189,"2002, Jul 14"
"Dornbusch, RÃ¼diger",6701370709,"2002, Jul 25"
"Ando, Albert",24362133000,"2002, Sep 19"
"Gabriel, Stuart A.",7202103883,"2002, Oct 15"
"Sertel, Murat R.",6701564849,"2003, Jan 25"
"Geisel, Martin S.",24305690600,"2003, Feb 07"
"Johnson, D. Gale",57016910800,"2003, Apr 13"
"Berger, Mark C.",7404267180,"2003, Apr 30"
"Kain, John F.",7006030437,"2003, Aug 03"
"Modigliani, Franco",6603272526,"2003, Sep 25"
"Hsu, Robert C.",7101741821,"2004, Jan 18"
"Wilson, George W.",24490138300,"2004, Jan 20"
"Lee, Winson B.",7407088922,"2004, Mar 01"
"Laffont, Jean Jacques",7006498596,"2004, May 01"
