our_name,Scopus
2004 Kerry presidential campaign,
Aarhus University,60029616
ABB Inc.,60090134
Abbot Laboratories,60001681
Abilene Christian University,60026136
Abt Associates,60018290
Abu Dhabi University,60074315
Academia Sinica,60019499
Acadia University,60029680
acnielsen,60079338
Adams State University,60013753
Addis Ababa University,60071181
Adelphi University,60022908
Adrian College,60010279
AES/Competition Policy Associates,
Afghan Ministry of Finance,
AFP - Pension Fund Administrators,
Africa University,60048869
Afyon Kocatepe University,60027222
Akdeniz University,60010104
Akita International University,60033480
Al-Zaytoonah University,60067411
Alabama A&M University,60008740
Alabama State University,60027501
Alaska Pacific University,60004989
Albany State University,60026521
Albion College,60012734
Albright College,60005633
Alcorn State University,60007538
Alexandria University,60033041
Alfred P. Sloan Foundation,60027023
Alfred University,60017263
Algorithmics,100327894
Allegheny College,60012650
Allen & Overy LLP,
Alliant International University,60020399
Alma College,60015594
American College,100361516
American College of Radiology,60031726
American Economics Group,60025444
American Express,60008840
American Institutes for Research,60013357
American Re,100754073
American University,60020420
American University Cairo,60019087
American University Dubai,60070790
American University in Cairo,60019087
American University of Armenia,60070837
American University of Beirut,60068761
American University Sharjah,60070791
Amherst College,60032372
Anadolu University,60016238
"Analysis Group, Inc.",60027567
Analytic Investors,60112998
Anderson Consulting,100359201
Anderson University,60021345
Andrews University,60018593
Angelo State University,60023735
Ankara University,60012603
Appalachian State University,60020441
"ApplEcon, LLC",
Aquinas College,60097396
"Arab Academy for Science, Technology & Maritime Transport",60007253
Arab African International Bank,
Arab Monetary Fund,
Arcadia University,60017205
Arizona State University,60003892
Arkansas State University,60032507
Arkansas Tech University,60001931
Armstrong State University,60027635
Arrowstreet Capital,100840293
Arthur Andersen LLP,100349025
Ashland University,60017130
Asian Development Bank,60071431
Asian Development Bank Institute,60257349
Asociación Bancaria de Venezuela,
Assuit University,60000617
Assumption College,60022236
AT&T,60014300
Ateneo de Manila University,60071457
Athabasca University,60018510
Athens State University,60032166
Athens University of Economics and Business,60019507
Auburn University,60011754
Auburn University at Montgomery,60029323
Augsburg University,60012827
"August-Gram Consulting, Inc",
Augusta State University,60014801
Augustana College,60008019
Augustana University,60032004
Aurora University,60101215
Austin Peay State University,60019081
Australian Graduate School of Management,60073904
Australian National University,60008950
Ave Maria College,60158049
AXA Rosenberg,
Azusa Pacific University,60025588
Babson College,60025239
Bain & Co,100397809
Baldwin-Wallace College,60025683
Balikesir University,60013929
Ball State University,60028244
Banco Central de Nicaragua,101098417
Banco de la Republica de Uruguay,107990457
Bangor University,60025779
Bank for International Settlements,60005819
Bank of America,60001466
Bank of Canada,60027607
Bank of Ecuador,
Bank of England,60026391
Bank of Estonia,60175892
Bank of Guatemala,
Bank of Italy,60082963
Bank of Japan,60112314
Bank of Korea,60175871
Bank of Portugal,60059147
Bank of Slovenia,60119524
Bank of Thailand,60032970
Bank One,60079183
"Bank One, Chicago",60079183
Banque de France,60109908
Bard College,60010828
Barnard College,60009906
Barry University,60001303
Barton College,60170193
Bates College,60028707
Bates White,100459031
Baylor University,60011278
BBA Corretora,
BCRA,
Beacon Hill Institute,
Beaver College,60022481
Beijing University,60014966
Belhaven College,60076817
Bell Canada Enterprises Inc,
Bellarmine College,60020018
Bellcore/Telcordia Technologies,60023456
Bellevue University,60011684
Belmont University,60004081
Bemidji State University,60000602
Ben Gurion University of the Negev,60027161
Benedict College,60013604
Benedictine University,60028332
Bentley College,60015747
Bentley University,60015747
Berea College,60005029
Berkeley Policy Associates,112645627
Berry College,60023917
Bethany College,60028034
Bethune-Cookman College,60011064
BI Norwegian Business School,60007996
Big 4,123535924
Bilkent University,60014808
Binghamton University,60020273
Biola University,60017758
Birmingham-Southern College,60014650
Bishop's University,60000153
Bloomsburg University,60019348
Bloomsburg University of Pennsylvania,60019348
Bluefield State College,60005472
Bluffton College,100321833
Board of Governors of the Federal Reserve System,60023612
Bocconi University,60021796
Bogazici University,60005803
Boise State University,60001456
Bond University,60031602
Bonneville Power Administration,
Borough of Manhattan Community College,100325196
Boston College,60031117
Boston Consulting Group,60096776
Boston University,60019674
Bournemouth University,60029336
Bowdoin College,60000144
Bowling Green State University,60018475
Bradley University,60003694
Brandeis University,60016247
Brattle Group,60029193
Brazilian Government,
Brescia University,60015300
Bridgewater State College,60017241
Brigham Young University,60006832
"Brigham Young University, Hawaii",60003883
Bristol Myers Squibb,60002717
Brock University,60001343
Bronx Community College,60092668
Brown Brothers Harriman,
Brown Harris Stevens,
Brown University,60011460
Bryant College,60017426
Bryn Mawr College,60016747
Bucknell University,60020426
Buena Vista University,60029797
Bulent Ecevit University,60032711
Bureau of Economic Analysis,60026627
Butler University,60020268
BW Analytics,
Ca' Foscari University of Venice,60013494
Cabrini University,60139003
"CAF, Development Bank of Latin America",118836613
Cairo University,60010294
California Institute of Technology,60031581
California ISO,100357035
California Lutheran University,60014209
California Polytechnic State University,60011116
"California State Polytechnic University, Pomona",60005565
California State University,
"California State University, Bakersfield",60023113
"California State University, Channel Islands",60020903
"California State University, Chico",60032974
"California State University, Dominguez Hills",60027557
"California State University, East Bay",60030992
"California State University, Fresno",60002526
"California State University, Fullerton",60000497
"California State University, Long Beach",60029378
"California State University, Los Angeles",60030759
"California State University, Northridge",60020975
"California State University, Sacramento",60013649
"California State University, San Bernardino",60000248
"California State University, San Marcos",60029457
"California State University, Stanislaus",60001223
California University of Pennsylvania,60122465
Calvin College,60000071
Cambridge Health Alliance,60030534
Cameron University,60011101
Campbell University,60002558
Canadian International Development Agency,60079846
Canisius College,60031908
CapAnalysis,100744468
Capital Economics,
Capital One,60079183
Capital University,60013518
Cardiff University,60023998
Carleton College,60013250
Carleton University,60017592
Carnegie Mellon University,60027950
Carnegie-Mellon University,60027950
Carroll College,60013548
Carson-Newman College,60012289
Carthage College,60006919
Case Western Reserve University,60000305
Castleton University,60011749
Catawba College,60026870
Catholic University of America,60020444
CEMFI,60033138
Center for Economic and Policy Research,60024983
Center for the Implementation of Public Policies Promoting Equity and Growth,102007110
Center of Army Analysis,
Centers for Disease Control,60021658
Centers for Disease Control and Prevention,60021658
Central Bank of Brazil,60004976
Central Bank of Chile,60023755
Central Bank of Hungary,60100905
Central Bank of Iceland,60122123
Central Bank of Indonesia,60087549
Central Bank of Israel,60271386
Central Bank of Jamaica,
Central Bank of Mexico,60092432
Central Bank of Venezuela,60040480
Central College (Iowa),60021661
Central Connecticut State University,60032058
Central European University,60009563
Central Michigan University,60009841
Central Registry Agency,
Central Reserve Bank of Peru,60120447
Central State University,60017060
Central Washington University,60031760
Centre College,60021362
Centre de Estudios Macroeconomics de Argentina,60026180
Centre for Studies in Social Sciences,60024993
CERGE-EI,60029504
CHA,
Chaminade University,60032788
Chang-Gung University,60090105
Chaoyang University of Technology,60025502
Chapman University,60016569
Charles River Associates,60016483
Chiang Mai University,60000881
Chicago State University,60020417
Chinese University of Hong Kong,60002798
Ching-Yun Institute of Technology,60011629
"ChoiceStream, Inc.",109867753
Christian Brothers University,60018129
Christopher Newport University,60007906
Chulalongkorn University,60028190
Chung-Ang University,60014237
CIDE,60022321
"Citadel, The Military College of South Carolina",60028168
CitiGroup,60011045
City College of New York,60028458
City University Hong Kong,60013983
City University London,60025704
City University of New York,60032373
Claremont Graduate University,60003812
Claremont McKenna College,60005080
Clarion University of Pennsylvania,60007878
Clark Atlanta University,60012269
Clark University,60026910
Clarkson University,60026227
Clayton State University,60009696
Clear Transactional Analysis,
Clemson University,60026610
Cleveland State University,60004154
CME Group,112625686
CNA Corporation,60020722
Coastal Carolina University,60019213
Coe College,60032938
Colby College,60005775
Colgate University,60016662
College of Charleston,60013340
College of Eastern Utah,100436144
College of Insurance,100538756
College of Saint Benedict and Saint John's University,60000499
College of Saint Rose,60008932
College of Southern Nevada,60031918
College of St Scholastica,60019763
College of the Holy Cross,60010874
College of the Ozarks,60112929
College of William & Mary,60016114
College of Wooster,60007957
Colorado College,60027618
Colorado School of Mines,60014965
Colorado State University,60009226
Colorado State University Pueblo,60030159
Columbia University,60030162
Columbus State University,60002880
Compass Lexecon,100333843
Competition Economics Inc.,101508747
Concordia University,60033154
Connecticut College,60011247
Converse College,60033390
Cornell University,60007776
Cornell University School of Hotel Administration,60030638
Cornerstone Research,60112568
Corvinus University Budapest,60001434
Coventry University,60017326
Credit Suisse,60097823
Creighton University,60012028
Criterion Economics,100857783
Cumberland College,60008550
"CUNY, Baruch College",60030528
"CUNY, Brooklyn College",60023814
"CUNY, College of Staten Island",60010187
"CUNY, Hunter College",60002896
"CUNY, Lehman College",60024611
"CUNY, Queens College",60003937
Dalhousie University,60015913
Dallas Baptist University,60159488
Dartmouth College,60010756
Davidson College,60022363
Deakin University,60018805
Del Rosario University,60065589
Delaware State University,60002709
Deloitte & Touche,60074770
Delta State University,60019675
Democritus University,60030988
Denison University,60011256
DePaul University,60026860
DePauw University,60005860
DeSales University,60159510
Deutsche Bank,60012156
Deutsche Bundesbank,60102529
"Development Alternatives, Inc.",60000720
Dickinson College,60024664
Dimensional Fund Advisors,113020687
District of Columbia,
Dominican University,60003223
Dominion Virginia Power,60000466
Dongguk University,60009387
Dowling College,60033224
Drake University,60018160
Dresdner Kleinwort Benson,
Drew University,60006953
Drexel University,60014662
Drury University,60024813
Dublin Business School,60005342
Dublin City University,60025059
Duke University,60008724
Dumlupinar University,60017437
Duquesne University,60012641
Durban University of Technology,60004001
E Cares,105186100
EAFIT University,60061982
Earlham College,60013990
East Carolina University,60016280
East Central University,60023585
East Stroudsburg University of Pennsylvania,60001336
East Tennessee State University,60001426
Eastern Connecticut State University,60010096
Eastern Illinois University,60012799
Eastern Kentucky University,60017470
Eastern Mediterranean University,60071323
Eastern Michigan University,60031138
Eastern New Mexico University,60004449
Eastern Oregon University,60015025
Eastern Washington University,60011188
"Econ One, Inc",100569918
Economic Analysis LLC,100461356
Economic and Social Research Institute,60031782
Economic Commission for Latin America in Santiago,60088692
Economic Policy Institute,60011461
Economists Inc.,100411267
Econsult Corporation,101357566
Edinboro University,60076320
Edison Electric Institute,60021829
El Colegio de Mexico,60005883
Electric Power Research Institute,60006272
Elgin College,100374911
Elizabeth City State University,60000701
Elizabethtown College,60029758
Elmhurst College,60026697
Elmia College,60159504
Elmira College,60159504
Elon College,60018610
Elon University,60018610
Embry-Riddle Aeronautical University,60028872
Emory and Henry College,60026256
Emory University,60000928
Empire State College,60015845
Emporia State University,60024793
Energy Economics,
Entergy,60079804
Ernest & Young,122084713
ERS Group,101323568
ESCP Business School,60112560
Eskisehir Osmangazi University,60029016
ESSEC,60009891
European Central Bank,60032704
European University Institute,60024316
Evergreen State College,60009222
Expand Beyond Corporation,
Experian,60109291
Export-Import Bank of the United States,114737777
Fairfield University,60010537
Fairleigh Dickinson University,60028728
Fannie Mae,60004447
FAO,60003553
Fayetteville State University,60005579
Federal Communications Commission,60010003
Federal Deposit Insurance Corporation,60112594
Federal Home Loan Mortage Corp.,60016163
Federal Housing Finance Board,60030591
Federal Reserve Bank of Atlanta,60010152
Federal Reserve Bank of Boston,60112497
Federal Reserve Bank of Chicago,60013830
Federal Reserve Bank of Dallas,60008845
Federal Reserve Bank of Kansas City,60112315
Federal Reserve Bank of Minneapolis,60091322
Federal Reserve Bank of New York,60019743
Federal Reserve Bank of Philadelphia,60112672
Federal Reserve Bank of Richmond,60030591
Federal Reserve Bank of San Antonio,60008845
Federal Reserve Bank of San Francisco,60031864
Federal Reserve Bank of St. Louis,60104179
Federal Trade Commission,60018468
Federal University of Minas Gerais,60030074
Federal University of Pernambuco,60031482
Federated Investors,100997470
FedEx,60001093
Ferris State University,60004769
Finance Canada,101063304
Finis Terrae University,60105368
FIS,60080025
"Fiscal Policy Office, Ministry of Finance, Thailand",114544972
Fiscal Policy Research Institute (Bangkok),
Fitchburg State College,60011585
Fleet Credit Card Services,
Flinders University,60020828
FlipChips Dot Com,
Florida A&M University,60027428
Florida Atlantic University,60017606
Florida Gulf Coast University,60009668
Florida Institute of Technology,60010339
Florida International University,60015206
Florida Southern College,60084098
Florida State University,60002092
Fondazione Rodolfo deBenedetti,100810492
Food and Drug Administration,60010237
Ford Motor Company,60029798
Fordham University,60015095
Forrester Research,112836638
Fort Hays State University,60020245
Fort Lewis College,60016341
Fort Valley State University,60003488
Foundation for Latin American Economic Research,
"FRAI, Inc.",
Framingham State College,60021397
Framingham State University,60021397
Francis Marion University,60029390
Franklin & Marshall College,60004686
Franklin University,60086515
Freddie Mac,60016163
Free University Amsterdam,60008734
Frostburg State University,60022636
Furman University,60003337
FUSADES,
Gallaudet University,60014539
Gannon University,60020338
Gardner-Webb University,60113200
GATE CNRS Lyon,60108313
"GE Capital, Kansas City, MO",
Geneva College,60006218
George Fox University,60004805
George Mason University,60018319
George Washington University,60003088
Georgetown Public Policy Institute,60023927
Georgetown University,60023927
Georgia College & State University,60014935
Georgia Institute of Technology,60019647
Georgia Southern University,60020059
Georgia Southwestern State University,60011104
Georgia State University,60012387
Gettysburg College,60030309
Getulio Vargas Foundation,60069326
Gifford Fong Associates,100691478
Glendale Community College,60003075
Global Capital Investment Group,
Global Energy Decisions,113815231
Golden Gate University,60085726
Golden West College,100449004
Goldman Sachs,60022332
Gonzaga University,60033432
Gordon College (Massachusetts),60112623
Gordon State College,60004574
Goshen College,60030361
Government of Colombia,107995953
Government of Gujarat,100898741
Government of Manitoba,60079314
Government of the Punjab,106959237
"Governor's Office, Colorado",
Governors State University,60031791
Graceland University,60158111
Grambling State University,60030731
Grand Valley State University,60025659
Grant Thornton and Huron Consulting Group,
"Greenberg Traurig, LLP",105450668
Greensboro College,60159469
Griffith University,60032987
Grinnell College,60028806
Grove City College,60032784
Growling WLG Canada,
Guilford College,60012433
Gustavus Adolphus College,60026247
Hacettepe University,60020484
Hallym University,60018986
Hamilton College,60015348
Hamline University,60024616
Hampden Sydney College,60005963
Hampton University,60031249
Hannibal–LaGrange University,60159518
Hanyang University,60024872
Hardin-Simmons University,60025313
Harding University,60020674
Hartwick College,60005461
Harvard University,60009982
Hashemite University,60044088
Hawaii Pacific University,60026027
HCL,60159795
"HDR/HLB Decision Economics, Inc.",
Health Canada,60018495
Health Communication Network,
"Health Economics Research, Inc",60015158
HealthPartners Institute for Education and Research,60013660
Hebrew University of Jerusalem,60007903
HEC Montreal,60002970
HEC Paris,60068566
Heidelberg College,60018956
Helsinki School of Economics,60002505
Henderson State University,60010525
Hendrix College,60007275
Heriot-Watt University,60019656
Hewlett-Packard Labs,60010574
HHS,
High Point University,60105252
Hillsdale College,60010894
Hitotsubashi University,60011263
Hofstra University,60029304
Hokkaido University,60014652
Holy Family College,60159482
Hong Kong Polytechnic University,60008928
Hong Kong University of Science and Technology,60008592
Hood College,60006547
Hoover Institution,60026163
Hope College,60021782
Household International,
Houston Baptist University,60016566
Howard Dean Presidential Campaign,
Howard University,60012771
HSBC Card Service,60001492
Hughes Hubbard & Reed LLP,101399502
"Humana, Inc.",60013399
Humboldt State University,60020590
Humboldt University of Berlin,60000762
Hunter College,60002896
IADB,60007869
IAE School of Management and Business,60112304
IBMEC,60086760
Icahn School of Medicine at Mount Sinai,60012981
Icesi University,60104957
ICF Consulting,60031944
Idaho State University,60005437
IE Business School,60108973
Illinois Institute of Technology,60002873
Illinois State University,60031975
Illinois Wesleyan University,60011758
INCDE,
Indian School of Business,60104532
Indian Statistical Institute-Delhi Centre,60075934
Indiana State University,60008599
Indiana University,60021121
Indiana University Kokomo,60008097
Indiana University Northwest,60022803
Indiana University of Pennsylvania,60019187
Indiana University South Bend,60022122
Indiana University Southeast,60018250
Indiana University-Purdue University Indianapolis,60024609
Indira Gandhi Institute of Developmental Research,60023312
Indonesian Ministry of Finance,100793465
Inductis Inc.,60097620
ING,
INRAN,60072720
INSEAD,60004888
INSEAD Singapore,60078888
Institute for Defense Analyses,60022889
Institute for Fiscal Studies,60012327
Institute for Social Research,60016100
Institute for the Study of Labor,60007893
"Institute of Advanced Studies, Mathematics",60027485
Institute of Diplomatic Studies,100843433
Institute of Labor Economics (IZA),60007893
Instituto Tecnológico Autónomo de México,60030473
Instituto Tecnologico y de Estudios Superiores de Monterrey,60007966
Inter-American Development Bank,60007869
International Center for the Study of East Asian Development,60006831
International Food Policy Research Institute,60000840
International Institute for Management Development,60067221
"International Institute for Trade and Development (Bangkok, Thailand)",
International Labor Organization,60029047
International Monetary Fund,60021406
International University of Japan,60022017
Investment Technology Group,119958183
Iona College,60019854
Iowa State University,60004354
Iran Khoro Investment Co.,
Israel Institute of Technology,60022403
Istanbul Teknik Üniversitesi,60022002
ITAM,60030473
ITGINC,
Ithaca College,60012181
"IZET Innovationszentrum, Gesellschaft für Technologieförderung Itzehoe mbH",
Izmir University of Economics,60020241
Jackson State University,60000238
Jacksonville State University,60009521
Jacksonville University,60011210
James Madison University,60005658
Japan Bank of International Cooperation,
Japan International Cooperation Agency,60087582
JD Power and Associates,
John Carroll University,60016139
Johns Hopkins University,60005248
Joint Committee on Taxation,60028743
JP Morgan,60028558
Kahramanmaras Sutcu Imam University,60002394
KAIST,60032144
Kalamazoo College,60014695
Kansas State University,60000689
KDI School of Public Policy and Management ,60013012
Kean University,60012615
Keene State College,60021041
Keio University,60025997
Kelly Drye & Warren LLP,
Kennesaw State University,60019740
Kent State University,60029653
Kentucky Long-Term Policy Research Center,
Kentucky State University,60010137
Kenyon College,60001966
Kettering University,60015018
KIMEP University,60113164
King Fahd University,60009506
King Fahd University of Petroleum & Minerals,60009506
Kirikkale University,60027674
Knox College,60024298
Kobe University,60011418
Koc University,60006369
Kocaeli University,60028583
Konan University,60029341
Kookmin University,60006245
Korea Center for International Finance,60094689
Korea Development Institute,112920734
Korea Economic Research Institute,100422984
Korea Energy Economics Institute,60094942
Korea Information Society Development Institute,60081224
Korea Institute for Industrial Economics and Trade,100416946
Korea Institute for International Economic Policy,60094689
Korea Institute of Public Finance,100373721
Korea Labor Institute,100395445
Korea National Assembly,100468317
Korea Tax Research Institute,
Korea Telecom,
Korea Transport Institute,60094656
Korea Transportation Safety Authority,113004206
Korea University,60005273
Korean Embassy,
Korean Information Society Development Institute,
Korean Ministry of Commerce,112475558
Korean Ministry of Trade & Industry,
KPMG,60111700
Krung Thai Bank,
Kutztown University,60001726
Kuwait University,60038812
Kwansei Gakuin University,60027395
Kyiv School of Economics,60088053
Kyoto University,60011001
Kyung Hee University,60001873
Kyungpook National University,60012704
La Sierra University,60011702
La Trobe University,60006925
LaFarge,60011181
Lafayette College,60009465
Lake Superior State University,60030819
Lakehead University,60025949
Lakeland College,60138938
Lamar University,60011442
Lancaster University,60023643
Lander University,60000411
LaSalle University,60031014
Laurentian University,60012762
Lawrence Berkeley Laboratory,60007174
Lawrence Technological University,60005059
Lawrence University,60005853
Leaf Group,
LeapFrogRx,113825602
LECG Corporation,60112571
Lees-McRae College,101527635
Lehigh University,60000060
Lehman Brothers,60016505
LeMoyne College,60010841
Lenoir-Rhyne College,60138983
Lewis & Clark College,60015036
Lewis University,60138941
Liberty University,60005611
Lincoln University,60006740
Lincoln University (New Zealand),60006625
Linfield College,60012675
Lingnan University,60011074
Lipscomb University,60138933
Loan Performance,
Lock Haven University,60014452
London Business School,60010057
London Development Agency,
London Metropolitan University,60002826
London School of Economics and Political Science,60003059
Long Island University,60014631
Longwood University,60020027
Loras College,60014119
Loughborough University,60000891
Louisiana State University,60007566
"Louisiana State University, Shrevenport",60026994
Louisiana Tech University,60016251
Loyola Marymount University,60019482
Loyola University Chicago,60003545
Loyola University Maryland,60014693
Loyola University New Orleans,60023030
"Lukens Consulting Group, Inc",100929319
Luther College,60011061
Lycoming College,60016748
Lynchburg College,60026705
Lyon Chamber of Commerce,123197094
Lyon College,60032210
Maastricht University,60018869
Macalester College,60028787
Macon State College,60159762
Macquarie University,60019544
Madonna University,60032823
Maharishi University of Management,60027341
Manchester College (Indiana),60028097
Manhattan College,60017789
Manhattanville College,60006643
Mansfield University of Pennsylvania,60028830
Marietta College,60013532
Marist College,60025671
Marquette University,60015720
Mars & Co.,100526228
Marshall University,60005085
Mary Baldwin University,60031659
Mary Kay Corp.,
Maryland Washington College,60029032
Marymount University,60026558
Maryville College,60006200
Maryville University,60006972
Marywood University,60014717
Massachusetts Institute of Technology,60022195
Massey University,60008221
Mathematica Policy Research,60032775
Mayo Clinic,60005559
McDaniel College,60027883
McGill University,60002494
McKendree College,60011502
McKinsey & Co.,60027030
McKinsey & Company,60027030
McMaster University,60031828
McNeese State University,60021230
Mellon Capital Management,
Memorial University of Newfoundland,60019000
Mercantile Financial Services,
Mercer University at Atlanta,60013143
Mercer University at Macon,60012403
Meredith College,60109130
Merrill Lynch,60029000
Merrimack College,60025508
Mersin University,60008377
Mesa State College,60010357
Metropolitan College of New York,60159506
Metropolitan State University,60032177
Metropolitan State University of Denver,60012090
Mexican Finance Ministry,100991732
Miami University,60032706
Michigan State University,60031707
Michigan Technological University,60016536
Microeconomic Consulting & Research Associates,114439766
Microstrategy Inc.,60094448
Middle East Technical University,60004305
Middle Tennessee State University,60018466
Middlebury College,60015707
Midwestern State University,60018427
Milken Institute,60112540
Millersville University,60001177
Millikin University,60016705
Millsaps College,60025052
Mindbridge Partners,
"Ministry of Agriculture, Bangkok, Thailand",60028726
Ministry of Economy and Finance,
Ministry of Economy of the Dominican Republic,
"Ministry of Finance, Bulgaria",109412309
"Ministry of Finance, Chile",100730404
"Ministry of Finance, Thailand",109897057
Ministry of Trade and Industry,
Minnesota State University,60007710
Minnesota State University Moorhead,60014491
"Minnesota State University, Mankato",60007710
Minot State University,60016221
Mississippi College,60026465
Mississippi State University,60001526
Mississippi Valley State University,60029217
Missouri Department of Health and Services,60074843
Missouri Southern State University,60007713
Missouri State University,60024510
Missouri University of Science and Technology,60024728
Missouri Western State University,60026801
Mizuho Research Institute Ltd.,107482630
Mizuho-DL Financial Technology,
Monash University,60019578
Monmouth University,60029216
Montana State University,60022522
Montana State University Billings,60019532
Montclair State University,60012621
Monterey Institute of International Studies,60019156
Moody's,60097929
Moravian College,60008972
Morehead State University,60027881
Morehouse College,60026514
Morgan Stanley,60008319
Morgan State University,60017062
Morningside College,60011713
Morris Brown College,60020917
Mount Allison University,60005081
Mount Holyoke College,60019526
Mount Royal University,60002283
Mount Saint Vincent University,60004791
Mount St. Mary's University,60102330
Mount St. Mary’s University,60102330
Mount Union College,60007129
MSCIBarra,
Muhlenberg College,60031653
Murdoch University,60019939
Murray State University,60005783
Nagoya City University,60024705
Nan Hua University of Taiwan,60018007
Nanjing University,60033100
Nankai University,60018038
Nanyang Technological University,60005510
Napier University,60018186
Nasdaq,
Nathan Associates,100596031
National Academy of Sciences,60015273
National Bank of Slovakia,100812675
National Bureau of Economic Research,60020337
National Central University,60024666
National Cheng Kung University,60014982
National Chengchi University,60027018
National Chi Nan University,60022907
National Chi-Nan University,60022907
National Chung Cheng University,60007954
National Development Planning Agency,
"National Economic and Social Development Board, Thailand",100523729
National Economics University,60071407
National Graduate Institute for Policy Studies,
National Priority Project,
National Sun Yat sen University,60011357
National Taiwan University,60005429
National Tsing Hua University,60018029
