="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)",="(73)",="(74)",="(75)",="(76)",="(77)",="(78)",="(79)",="(80)",="(81)",="(82)",="(83)",="(84)",="(85)",="(86)",="(87)",="(88)",="(89)",="(90)",="(91)",="(92)",="(93)",="(94)",="(95)",="(96)",="(97)",="(98)",="(99)",="(100)"
="",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd",="plc_scorewstd"
="adv_evwwin99std",="-0.652",="-0.372",="0.562",="1.272",="1.443",="1.696",="-0.462",="-0.375",="-1.116",="-0.548",="0.0917",="0.470",="-0.162",="-0.872",="-1.267",="-0.920",="-1.033",="0.255",="1.215",="-0.0675",="-1.440",="0.324",="-1.622",="-0.675",="0.208",="-0.0609",="-0.743",="0.205",="0.154",="1.078",="-0.225",="-0.610",="-1.326",="1.965",="-0.126",="-1.766",="1.476",="-1.417",="1.324",="-1.082",="0.0454",="-0.259",="-0.0993",="-0.0357",="-0.0168",="-1.404",="1.079",="-0.295",="-0.00738",="1.026",="-0.129",="0.289",="0.403",="1.484",="0.0751",="0.238",="-0.458",="-1.893",="-0.478",="-0.375",="9.011",="0.0917",="-2.002",="0.453",="1.433",="1.044",="-1.375",="-1.594",="-1.014",="-3.492",="-0.581",="0.687",="-0.717",="-0.0168",="0.906",="-1.149",="1.051",="0.592",="-0.274",="-0.570",="-0.496",="3.204",="-0.757",="-0.685",="-0.126",="1.152",="-1.961",="1.298",="-0.101",="0.785",="0.400",="-0.580",="-1.171",="0.0623",="-2.353",="0.257",="-0.0892",="0.579",="0.726",="-0.499"
="",="0.521",="0.700",="0.343",="0.199",="0.489",="0.158",="0.245",="0.501",="0.033",="0.444",="0.861",="0.576",="0.749",="0.084",="0.057",="0.155",="0.455",="0.630",="0.209",="0.879",="0.140",="0.744",="0.001",="0.332",="0.853",="0.784",="0.516",="0.646",="0.698",="0.147",="0.719",="0.286",="0.201",="0.104",="0.754",="0.053",="0.505",="0.244",="0.437",="0.654",="0.832",="0.680",="0.908",="0.929",="0.959",="0.407",="0.077",="0.486",="0.984",="0.325",="0.906",="0.588",="0.524",="0.000",="0.960",="0.486",="0.713",="0.311",="0.481",="0.501",="0.173",="0.861",="0.227",="0.291",="0.155",="0.334",="0.264",="0.351",="0.167",="0.381",="0.423",="0.300",="0.756",="0.959",="0.264",="0.244",="0.332",="0.323",="0.273",="0.341",="0.740",="0.032",="0.019",="0.529",="0.754",="0.050",="0.197",="0.444",="0.942",="0.032",="0.653",="0.373",="0.302",="0.910",="0.368",="0.706",="0.962",="0.439",="0.359",="0.717"
="adv_euclid",="-0.0107",="-0.000462",="0.00141",="-0.0118",="0.00305",="0.0134",="0.000306",="0.00984",="-0.00827",="0.0123",="0.000127",="0.0103",="-0.00992",="-0.00823",="0.00724",="0.0159",="0.0235",="-0.00262",="0.0102",="0.00362",="-0.0232",="0.00488",="0.00390",="-0.00254",="0.0144",="0.00209",="-0.0170",="-0.00812",="0.0142",="0.00915",="-0.00325",="-0.00252",="0.0104",="0.0124",="0.00305",="-0.0296",="-0.00902",="0.0112",="-0.0164",="-0.00207",="0.0280",="-0.00324",="-0.0209",="-0.00792",="-0.0143",="0.00915",="-0.00360",="-0.00342",="0.00504",="0.00560",="0.00724",="0.0169",="0.00110",="-0.00641",="-0.00493",="0.0118",="-0.0151",="-0.00187",="0.00227",="0.00984",="-0.0251",="0.000127",="-0.00439",="-0.0143",="0.0138",="0.0213",="-0.00856",="0.00643",="-0.0101",="-0.0103",="0.0125",="0.0123",="-0.00508",="-0.0143",="-0.00710",="-0.00956",="0.00126",="0.00109",="-0.00724",="0.0313",="0.00743",="0.0137",="0.0141",="0.0131",="0.00305",="-0.00477",="0.00444",="-0.00488",="-0.000376",="0.00869",="-0.0223",="0.00708",="-0.0106",="-0.00323",="-0.00688",="0.00200",="-0.0102",="-0.0121",="0.00758",="0.00101"
="",="0.072",="0.959",="0.801",="0.007",="0.901",="0.243",="0.968",="0.071",="0.474",="0.031",="0.989",="0.418",="0.317",="0.169",="0.634",="0.135",="0.005",="0.448",="0.343",="0.673",="0.019",="0.635",="0.279",="0.740",="0.009",="0.796",="0.036",="0.199",="0.047",="0.466",="0.598",="0.798",="0.021",="0.069",="0.786",="0.112",="0.343",="0.066",="0.022",="0.659",="0.003",="0.639",="0.029",="0.264",="0.001",="0.540",="0.520",="0.668",="0.427",="0.567",="0.148",="0.008",="0.822",="0.134",="0.374",="0.265",="0.104",="0.571",="0.791",="0.071",="0.347",="0.989",="0.411",="0.070",="0.204",="0.014",="0.378",="0.538",="0.196",="0.395",="0.125",="0.263",="0.359",="0.001",="0.582",="0.200",="0.880",="0.799",="0.303",="0.006",="0.394",="0.281",="0.001",="0.114",="0.786",="0.505",="0.393",="0.792",="0.953",="0.163",="0.011",="0.502",="0.496",="0.427",="0.134",="0.705",="0.501",="0.162",="0.677",="0.847"
="2.stu_sex",="0.594",="0.524",="0.995",="-0.618",="0.844",="0.0218",="0.308",="-0.556",="0.537",="0.294",="0.676",="-0.872",="0.00535",="-0.374",="0.0504",="0.244",="0.441",="0.227",="-0.121",="0.308",="0.0697",="-0.0538",="-0.253",="1.215",="0.166",="0.540",="0.568",="0.177",="0.112",="1.126",="-0.270",="0.278",="-0.846",="0.534",="0.273",="0.223",="-1.017",="-0.647",="-0.777",="-1.065",="0.236",="-0.240",="0.407",="-0.0483",="-0.319",="-0.0410",="0.994",="-0.303",="-0.513",="-0.807",="1.063",="0.457",="-0.0989",="0.134",="0.297",="0.188",="0.236",="0.206",="0.164",="-0.556",="-0.449",="0.676",="0.00509",="0.546",="0.279",="-0.0677",="0.938",="0.274",="0.000547",="0.179",="-0.0439",="0.584",="0.978",="-0.319",="0.184",="0.219",="0.426",="0.563",="0.199",="0.252",="0.458",="0.309",="0.987",="0.0178",="0.273",="0.764",="0.291",="0.741",="0.287",="0.219",="0.891",="0.0138",="0.376",="0.351",="0.169",="0.748",="-0.00751",="0.419",="0.644",="-0.557"
="",="0.278",="0.336",="0.042",="0.232",="0.098",="0.966",="0.479",="0.257",="0.219",="0.551",="0.192",="0.116",="0.991",="0.463",="0.903",="0.432",="0.326",="0.600",="0.828",="0.529",="0.874",="0.928",="0.464",="0.023",="0.738",="0.236",="0.311",="0.740",="0.819",="0.013",="0.601",="0.477",="0.064",="0.105",="0.416",="0.627",="0.049",="0.216",="0.144",="0.056",="0.574",="0.602",="0.430",="0.893",="0.528",="0.934",="0.036",="0.561",="0.121",="0.095",="0.031",="0.336",="0.824",="0.783",="0.524",="0.686",="0.581",="0.678",="0.680",="0.257",="0.521",="0.192",="0.992",="0.224",="0.552",="0.857",="0.061",="0.602",="0.999",="0.680",="0.910",="0.054",="0.013",="0.528",="0.699",="0.666",="0.504",="0.207",="0.652",="0.642",="0.296",="0.459",="0.047",="0.960",="0.416",="0.079",="0.508",="0.036",="0.585",="0.661",="0.038",="0.979",="0.484",="0.368",="0.668",="0.090",="0.988",="0.372",="0.114",="0.232"
="school_rankw",="-0.00293",="-0.00325",="-0.00237",="-0.00265",="-0.00432",="-0.00375",="-0.00356",="-0.00607",="-0.00193",="-0.00350",="-0.00335",="-0.00377",="-0.00477",="-0.00168",="-0.00387",="-0.00383",="-0.00431",="-0.00320",="-0.00373",="-0.00414",="-0.00235",="-0.00276",="-0.00529",="-0.00720",="-0.00482",="-0.00405",="-0.00183",="-0.00377",="-0.00231",="-0.00376",="-0.00441",="-0.00361",="-0.00232",="-0.00308",="-0.00338",="-0.00393",="-0.00270",="-0.00352",="-0.00349",="-0.00642",="-0.00484",="-0.00521",="-0.00354",="-0.00469",="-0.00239",="-0.00312",="-0.00318",="-0.00374",="-0.00356",="-0.00221",="-0.00289",="-0.00212",="-0.00376",="-0.00379",="-0.00326",="-0.00261",="-0.00288",="-0.00157",="-0.00438",="-0.00607",="-0.00517",="-0.00335",="-0.00274",="-0.00466",="-0.00152",="-0.00276",="-0.00370",="-0.00271",="-0.00196",="-0.00530",="-0.00291",="-0.00552",="-0.00649",="-0.00239",="-0.00220",="-0.00305",="-0.00344",="-0.00401",="-0.00280",="-0.00394",="-0.00536",="-0.00208",="-0.00334",="-0.00670",="-0.00338",="-0.00333",="-0.00460",="-0.00436",="-0.00203",="-0.00196",="-0.00427",="-0.00597",="-0.00284",="-0.00285",="-0.00411",="-0.00410",="-0.00290",="-0.000567",="-0.00391",="-0.00265"
="",="0.013",="0.006",="0.044",="0.103",="0.003",="0.002",="0.013",="0.000",="0.077",="0.000",="0.028",="0.006",="0.000",="0.138",="0.000",="0.000",="0.000",="0.021",="0.001",="0.000",="0.041",="0.013",="0.000",="0.000",="0.003",="0.000",="0.170",="0.003",="0.022",="0.000",="0.001",="0.000",="0.001",="0.002",="0.001",="0.003",="0.085",="0.022",="0.004",="0.000",="0.000",="0.001",="0.011",="0.000",="0.024",="0.001",="0.003",="0.001",="0.003",="0.022",="0.002",="0.040",="0.003",="0.000",="0.021",="0.016",="0.051",="0.201",="0.010",="0.000",="0.036",="0.028",="0.077",="0.000",="0.074",="0.012",="0.000",="0.092",="0.092",="0.015",="0.006",="0.000",="0.000",="0.024",="0.067",="0.006",="0.008",="0.000",="0.010",="0.004",="0.000",="0.106",="0.018",="0.000",="0.001",="0.018",="0.000",="0.000",="0.215",="0.073",="0.000",="0.000",="0.023",="0.004",="0.008",="0.014",="0.012",="0.574",="0.005",="0.067"
="_cons",="-5.982",="-3.864",="3.570",="3.891",="-1.175",="6.219",="3.854",="-7.155",="4.619",="3.154",="7.639",="-12.03",="-2.021",="-3.757",="10.25",="-0.204",="0.371",="-0.861",="0.671",="2.334",="-13.22",="-9.878",="-5.537",="0.471",="-7.474",="2.564",="5.982",="0.897",="-7.030",="7.069",="-6.130",="-7.257",="9.350",="-0.907",="-14.33",="-5.888",="22.37",="-5.518",="-0.919",="-9.634",="15.18",="-8.035",="11.06",="1.766",="-7.421",="-0.0436",="-7.752",="8.335",="-3.408",="-10.97",="-9.445",="4.573",="-0.487",="-0.378",="7.411",="-0.975",="7.018",="-5.832",="2.524",="-7.155",="-2.933",="7.639",="-2.239",="9.946",="-23.18",="0.795",="12.06",="-9.499",="-5.981",="-8.013",="1.482",="-2.405",="0.335",="-7.421",="2.109",="-0.767",="-2.023",="3.596",="-1.851",="-7.971",="-6.766",="-7.120",="7.322",="1.234",="-14.33",="-0.439",="5.650",="-15.18",="4.509",="-7.701",="1.014",="-5.471",="-0.250",="5.126",="2.356",="1.964",="-2.329",="-2.292",="-6.780",="-2.500"
="",="0.352",="0.247",="0.456",="0.209",="0.851",="0.000",="0.419",="0.020",="0.267",="0.206",="0.060",="0.046",="0.707",="0.446",="0.000",="0.963",="0.869",="0.819",="0.889",="0.620",="0.006",="0.234",="0.263",="0.746",="0.034",="0.298",="0.089",="0.860",="0.001",="0.271",="0.348",="0.114",="0.007",="0.828",="0.052",="0.344",="0.000",="0.332",="0.849",="0.044",="0.001",="0.037",="0.020",="0.145",="0.083",="0.986",="0.030",="0.152",="0.319",="0.024",="0.069",="0.319",="0.845",="0.895",="0.008",="0.879",="0.002",="0.063",="0.275",="0.020",="0.584",="0.060",="0.780",="0.005",="0.001",="0.854",="0.001",="0.131",="0.245",="0.286",="0.736",="0.664",="0.831",="0.083",="0.442",="0.807",="0.703",="0.012",="0.463",="0.120",="0.134",="0.139",="0.126",="0.766",="0.052",="0.903",="0.051",="0.006",="0.365",="0.220",="0.863",="0.334",="0.961",="0.058",="0.067",="0.613",="0.097",="0.522",="0.019",="0.486"
="Adviser FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Adviser experience FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Field FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Placement year FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="N",="514",="463",="473",="442",="501",="503",="461",="480",="463",="499",="470",="416",="466",="434",="480",="464",="451",="474",="493",="487",="504",="511",="519",="452",="505",="464",="461",="492",="480",="465",="464",="488",="477",="475",="477",="457",="497",="481",="442",="470",="510",="481",="440",="438",="462",="468",="498",="493",="483",="509",="490",="436",="464",="492",="489",="526",="483",="468",="492",="480",="449",="470",="512",="464",="495",="473",="457",="431",="469",="476",="487",="530",="482",="462",="495",="486",="489",="481",="495",="454",="494",="468",="504",="478",="477",="467",="491",="451",="434",="507",="489",="473",="466",="477",="472",="458",="476",="448",="482",="502"
